127.0.0.1 - - [07/Jun/2025:16:38:47 -0300] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [07/Jun/2025:16:38:51 -0300] "GET / HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2025:16:38:52 -0300] "GET /assets/images/garagem.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [07/Jun/2025:16:38:52 -0300] "GET /api/auth/status HTTP/1.1" 401 687
0:0:0:0:0:0:0:1 - - [07/Jun/2025:16:38:52 -0300] "GET /favicon.ico HTTP/1.1" 404 695
0:0:0:0:0:0:0:1 - - [07/Jun/2025:16:38:58 -0300] "POST /api/auth/login HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [07/Jun/2025:16:38:58 -0300] "GET /veiculos/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2025:16:38:58 -0300] "GET /api/veiculos HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [07/Jun/2025:16:38:59 -0300] "GET /veiculos/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2025:16:39:07 -0300] "GET /veiculos/edit.html?id=2 HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [07/Jun/2025:16:39:07 -0300] "GET /assets/js/edit.js HTTP/1.1" 200 1999
